Query,p@3,p@5,p@10,p@15,p@Mx,Doc Count,Recall,F-measure,Search Engine
403b ,1,1,1,0.93333333333333,0.33,100,0.33,0.33,Bing
403b ,0.33333333333333,0.6,0.6,0.46666666666667,0.19,100,0.19,0.19,Blekko
403b ,1,1,1,1,0.32,100,0.32,0.32,Google
403b ,1,1,1,1,0.55,100,0.55,0.55,Aggregated
angular cheilitis ,1,1,1,0.86666666666667,0.40816326530612,98,0.4,0.4040404040404,Bing
angular cheilitis ,1,0.6,0.7,0.6,0.28985507246377,69,0.2,0.23668639053254,Blekko
angular cheilitis ,1,1,1,0.93333333333333,0.27,100,0.27,0.27,Google
angular cheilitis ,1,1,0.9,0.93333333333333,0.57,100,0.57,0.57,Aggregated
pocono ,1,1,0.9,0.86666666666667,0.30208333333333,96,0.29,0.29591836734694,Bing
pocono ,0.66666666666667,0.6,0.6,0.6,0.27,100,0.27,0.27,Blekko
pocono ,1,1,0.9,0.93333333333333,0.33,100,0.33,0.33,Google
pocono ,1,1,1,0.93333333333333,0.52,100,0.52,0.52,Aggregated
figs ,1,1,0.9,0.93333333333333,0.45744680851064,94,0.43,0.44329896907216,Bing
figs ,0.33333333333333,0.4,0.5,0.6,0.22,100,0.22,0.22,Blekko
figs ,0.66666666666667,0.8,0.8,0.66666666666667,0.24,100,0.24,0.24,Google
figs ,1,1,1,0.93333333333333,0.58,100,0.58,0.58,Aggregated
last supper painting ,0.66666666666667,0.8,0.9,0.86666666666667,0.375,96,0.36,0.36734693877551,Bing
last supper painting ,0.33333333333333,0.4,0.2,0.13333333333333,0.18,100,0.18,0.18,Blekko
last supper painting ,1,1,0.9,0.86666666666667,0.32,100,0.32,0.32,Google
last supper painting ,0.66666666666667,0.8,0.9,0.86666666666667,0.53,100,0.53,0.53,Aggregated
university of phoenix ,1,0.6,0.5,0.53333333333333,0.35416666666667,96,0.34,0.3469387755102,Bing
university of phoenix ,0.66666666666667,0.6,0.5,0.4,0.15,100,0.15,0.15,Blekko
university of phoenix ,1,0.8,0.7,0.8,0.30188679245283,106,0.32,0.31067961165049,Google
university of phoenix ,1,1,0.9,0.86666666666667,0.45,100,0.45,0.45,Aggregated
